22373
13533	22965
15939	23017
1539	22972
2185	23044
5387	22995
22294	23202
456	19685
10812	23125
3538	22976
16465	22969
19327	23192
387	23042
1753	2166
10746	10748
20015	22965
16187	22987
22936	23070
18642	19220
15628	23015
3685	22976
4550	6628
11984	18135
2995	15329
13053	22977
11549	22987
9232	22965
2752	16952
4738	22965
6772	22976
4228	17548
8252	8269
15424	23119
429	22965
20457	22977
3614	22976
11194	22983
8610	14768
3441	19674
8439	23196
9803	22965
22977	23183
23000	23063
2752	8666
4947	12777
13278	22965
4217	22965
9471	22974
15990	22965
9282	16294
10291	23242
22168	22965
2994	22549
992	3195
12070	22965
22965	23124
2549	2550
4563	23062
12399	23015
18851	23072
13526	22965
1762	12902
22983	23203
2917	15732
3798	6721
8853	22965
2019	11190
2489	15396
8482	22996
19206	19207
19319	23001
2891	14369
18432	22983
23149	23205
7571	23095
1774	21660
5052	22963
2998	15239
8072	8469
22848	22972
11371	23008
20788	22976
2092	2094
1148	19603
1798	9295
13587	23203
2652	22969
1932	23001
8327	23028
22293	22965
2350	15052
12163	13085
18686	22970
5790	22976
22845	22966
2319	22965
3091	23066
21188	22976
18334	23203
6647	22963
10692	23181
14676	23211
13122	23031
21919	23171
1875	18802
22965	23012
17183	23004
17998	22986
121	5550
13832	23024
6719	22965
6154	22965
13921	22963
150	11320
5455	22965
10682	23001
22965	23037
6520	22965
13824	23238
2448	22969
21401	23197
8069	22972
13229	23098
9506	14270
14533	22979
20785	23062
3635	22977
2852	8603
2909	9919
11945	22965
2774	23030
7907	22979
741	22965
10925	22157
2196	23197
9245	22969
17223	22976
4090	22965
12321	23150
2930	14993
3093	22965
7311	23071
22969	23130
15001	23037
20998	22976
18916	23032
1850	23053
22966	23149
3719	22976
2450	2452
7795	22972
10609	14077
17139	23004
8153	10279
22982	22994
6206	22965
14458	22977
23031	23144
4305	23062
9505	22963
14872	22972
4534	22965
5547	22965
9057	23008
11309	22965
2703	14617
22127	23046
482	22963
14522	22987
1591	11011
7545	23149
20569	22965
12270	23033
21598	23060
21160	22965
5099	22977
20379	22965
22991	23017
15643	23119
16242	22967
21479	23044
23006	23197
1085	22965
9456	22963
14292	16645
22170	22972
1730	1731
9028	22966
20974	22965
12302	23057
19367	23016
4978	22965
8050	8051
2860	13881
20073	22965
22977	23213
2480	8157
8548	22983
11164	22983
12950	22976
11833	22963
22966	22980
5246	22965
12371	23029
1288	23041
2702	22996
1928	22965
19335	23021
23019	23080
22965	23008
18278	18977
14001	23015
707	4991
2880	13880
14241	23210
14389	22987
5026	23004
13390	22965
2706	16507
2321	15621
3806	6905
15652	22964
17682	22972
9647	22966
12632	23004
21541	23197
1069	22965
2335	9879
15822	22967
10218	22965
16467	23150
11996	23006
274	22965
10657	18703
12452	22969
1757	14737
12995	23221
2419	23063
7231	23095
2326	9362
14132	22837
2489	13969
18046	18103
2461	11928
4708	22965
19022	23045
11490	23065
15739	22969
294	23142
3031	22963
16133	23077
2748	14902
3668	22981
13812	23024
1221	22965
11220	22963
13544	22966
18694	22983
2598	2970
9309	11601
2495	8612
2654	15363
7314	22965
5343	23126
2691	22977
5085	23067
3553	23004
8837	16629
957	4278
1227	22965
9599	22977
19820	22963
20522	22965
14320	23080
17554	22980
2856	23055
10842	10855
712	22965
19547	23197
5343	7211
21013	23062
18831	23072
4174	21200
22963	23075
21121	22977
18532	23164
4182	22976
3251	22995
11771	22965
5325	19708
14240	22965
14427	16479
23134	23163
11605	23030
1505	22983
2267	23134
17873	23190
2395	22969
13832	23137
23058	23087
12300	23033
16528	22974
5436	12842
3806	22965
7492	23095
625	22965
3030	16861
8428	14669
22965	23240
6168	22965
12045	22808
2549	16814
3032	22994
2795	22965
5041	22965
967	22965
18649	18650
1798	23008
19805	22965
23006	23042
2420	9406
3374	22972
1803	1804
8263	16609
9334	13956
16196	22994
7390	22963
17236	22965
20565	22972
6214	6215
2377	17014
3755	22965
8493	9977
102	20389
4596	22965
3771	22963
8979	23063
17145	22965
121	782
3118	13621
8173	23063
4091	23058
8893	11897
3954	22965
4220	22977
650	4961
4008	22965
7156	23087
2595	15768
1878	22997
3372	22965
4174	22965
1383	1384
2603	8419
2328	22998
5350	22976
8259	23110
15700	16470
7630	13562
11437	22980
1106	22965
5614	22965
13364	13365
8809	23050
5230	22981
9122	9123
21533	23197
2856	9823
16702	22991
2721	22983
5329	22965
32	20074
930	22965
4607	22397
13397	23062
11054	22966
12599	22965
651	23082
7865	23220
9410	9411
22983	23005
14993	22987
4158	23069
382	17109
1764	16976
13722	22974
899	22976
3734	22976
1265	22963
23001	23228
7950	22618
5564	22976
10808	22976
20061	22965
